,smiles
BRD-K45724504,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@@]11CO1
BRD-A46813902,Ic1ccc(CN2CCC(CC2)C2(CCC(=O)NC2=O)c2ccccc2)cc1
BRD-K99113996,CNC(=O)c1cccc(c1)-c1ccc2c(nc(nc2n1)N1CCOC[C@@H]1C)N1CCOC[C@@H]1C
BRD-K75649340,Nc1nc(S)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1
BRD-A25687296,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc12
BRD-K96358241,COC(=O)C[C@@](O)(CCC(C)(C)O)C(=O)O[C@H]1[C@@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
BRD-A64553394,OC(COc1cccc2[nH]c(cc12)C#N)CN1CCN(CC1)C(c1ccccc1)c1ccccc1
BRD-K51662849,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO
BRD-K51967704,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc23)c1C
BRD-K19295594,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
BRD-K64925568,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(O)=O)C1=O)c1cccc(Cl)c1)c1ccc(Cl)cc1
BRD-K16551357,Cc1cc(C)c2N(C[C@H]3CC[C@@H](CC3)C(O)=O)CCC[C@H](N(Cc3cc(cc(c3)C(F)(F)F)C(F)(F)F)c3nnn(C)n3)c2c1
BRD-K50168500,Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl
BRD-K54256913,CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1
BRD-K23301018,Oc1c(Br)cc(Br)c2cccnc12
BRD-K46386702,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1
BRD-K11215326,CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1ccc(CN2CCOCC2)cc1
BRD-K19318328,CC(C)C[C@H](NC(=O)N1CCCCCC1)C(=O)N[C@H](Cc1cn(C)c2ccccc12)C(=O)N[C@H](Cc1ccccn1)C(O)=O
BRD-A95696066,CNCCC(Oc1ccccc1OC)c1ccccc1
BRD-K91623615,COc1ccc(cc1)S(=O)(=O)Nc1cccnc1Nc1ccc(O)cc1
BRD-K74057757,Clc1ccc(Cn2cc(C(=O)C(=O)Nc3ccncc3)c3ccccc23)cc1
BRD-K94420399,O[C@]1(CC[C@@H](CC1)N[C@H]1CCN(C1)C(=O)CNC(=O)c1cccc(c1)C(F)(F)F)c1ccc(cn1)-c1ncccn1
BRD-K26712974,CCO[C@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(N)c(Cl)c1)C(C)(C)C
BRD-K75009076,Cn1cc(cn1)-c1cnn2c(N)c(Br)c(nc12)[C@@H]1CCCNC1
BRD-K53097745,COc1cc(OC)cc(C=Cc2ccc(O)cc2)c1
BRD-K43389698,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1
BRD-K66241279,CCNC(=O)\C=C\c1cccc(Br)c1
BRD-K60341624,CC(C)c1noc(n1)N1CCC(COc2ccc(nc2)-c2ccc(cc2)S(C)(=O)=O)CC1
BRD-K70914287,CN1CCC(CC1)Nc1ncc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1
BRD-K82135108,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1
BRD-K03384561,CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1
BRD-A47953250,CC1(C)C2CCC1(CS(O)(=O)=O)C(=O)\C2=C/c1ccc(cc1)\C=C1\C2CCC(CS(O)(=O)=O)(C1=O)C2(C)C
BRD-K82928892,CC(C)[C@H](C)\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1\C[C@@H](O)C[C@H](O)C1=C
BRD-K07265709,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
BRD-K11630072,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
BRD-K83003151,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
BRD-K73838513,C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c1cccc2ccccc12
BRD-K13183738,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1
BRD-A75919782,Nc1nc(=O)c2N(C=O)C(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNc2[nH]1
BRD-K13514097,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO
BRD-A50049929,OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
BRD-K86204871,CC(C)N1CCN(CC1)c1ccc(OC[C@@H]2CO[C@](Cn3cncn3)(O2)c2ccc(Cl)cc2Cl)cc1
BRD-K17979676,Clc1ccc(cc1)C(=O)NCCCN1CCOCC1
BRD-A01643550,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
BRD-K42938903,CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(CCO)CC3)c2c1
BRD-K84091759,CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1
BRD-K02594908,Nc1ccc(cc1)S(N)(=O)=O
BRD-K40992116,Oc1ccc(Cl)cc1
BRD-K16277217,CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCC(CCO)CC3)c2c1
BRD-K35952844,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O
BRD-A59303141,CCC1NC(=O)c2cc(c(Cl)cc2N1)S(N)(=O)=O
BRD-K87024524,NNCCc1ccccc1
BRD-A83937277,CCC1(NC(=O)N(C)C1=O)c1ccccc1
BRD-K59647213,C[N+](C)(C)C[C@H](O)CC(O)=O
BRD-K84783599,COC(=O)N(C)c1c(N)nc(nc1N)-c1nn(Cc2ccccc2F)c2ncccc12
BRD-K09951645,CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F
BRD-K21283037,Nc1nc2ccc(OC(F)(F)F)cc2s1
BRD-K11267252,CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N1CCC(CC1)N1CCOCC1
BRD-A23067620,CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O
BRD-A81129465,CC(C(O)=O)c1cccc(Oc2ccccc2)c1
BRD-K18574842,CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O
BRD-K00673382,NC(N)=Nc1nc(CSCC\C(N)=N/S(N)(=O)=O)cs1
BRD-K10843433,CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1
BRD-K10845183,OP(O)(=O)C(Sc1ccc(Cl)cc1)P(O)(O)=O
BRD-K00259736,COc1cc2CC[C@H](NC(C)=O)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC
BRD-K23204545,CS(=O)(=O)OCCCCOS(C)(=O)=O
BRD-K24048528,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@@H]3CC=C2C1
BRD-K35245662,CC(C)C(=O)OCC(=O)[C@@]12O[C@@H](O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]21C)C1CCCCC1
BRD-K15567136,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
BRD-K43389675,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O
BRD-K52256627,Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1
BRD-K68346641,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
BRD-K51313569,CC(=O)c1c(C)c2cnc(Nc3ccc(cn3)N3CCNCC3)nc2n(C2CCCC2)c1=O
BRD-K82861010,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1ncc([nH]1)-c1ccc(cc1)-c1ccc(cc1)-c1cnc([nH]1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C
BRD-A49358627,CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O
BRD-K69650333,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O
BRD-K19615002,CN(CC(O)=O)C(N)=N
BRD-K29254801,CN(C)C(=S)SSC(=S)N(C)C
BRD-K88568253,CC(C)NNC(=O)c1ccncc1
BRD-A36267905,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1
BRD-A27887842,C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@]34C)C1CC[C@]2(O)C(=O)CO
BRD-A36456202,CC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(CCN)NC(=O)C(CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)C(CCN)NC1=O)C(C)O
BRD-A48300215,CC[C@H]1C2CC3[C@@H]4N(C)c5ccccc5[C@]44C[C@@H](C2C4O)N3[C@@H]1O
BRD-K66808046,Oc1cccc2cccnc12
BRD-K92872987,Cc1cc(O)c(cn1)C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O)c1ccc(O)cc1
BRD-K35240538,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
BRD-K63126190,CNC[C@H](O)c1ccc(O)c(O)c1
BRD-A30582499,CCNC1(CCCCC1=O)c1cccs1
BRD-A06352418,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1
BRD-K66175015,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
BRD-K85090592,CC[C@H]1[C@@H](Cc2cncn2C)COC1=O
BRD-K53972329,N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
BRD-K21680192,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
BRD-A69651145,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O)N(C)C
BRD-A11132253,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O
BRD-K02900412,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
BRD-A10070317,CC(C)NCC(O)COc1cccc2ccccc12
BRD-K97810537,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]12C
BRD-K51318897,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1
BRD-K67511046,Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O
BRD-K10670311,OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1
BRD-K48195008,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
BRD-K11433652,CC(=O)Oc1ccccc1C(O)=O
BRD-K18250272,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC
BRD-K78789465,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
BRD-A00758722,C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C
BRD-A02180903,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@]1(O)C(=O)CO
BRD-K13249881,C1CNCCN1
BRD-K85333151,CC(C)Nc1c(C)n(C)n(-c2ccccc2)c1=O
BRD-A50311610,Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1
BRD-K46937689,Cc1cc(=O)n(-c2ccccc2)n1C
BRD-K45252063,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
BRD-K54094468,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
BRD-K36386086,C[C@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12
BRD-K64052750,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
BRD-K49328571,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
BRD-K67043667,CN(C)c1nc(nc(n1)N(C)C)N(C)C
BRD-K34411947,CN([N+][O-])C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
BRD-A24397426,CC1CCc2c(N3CCC(O)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O
BRD-K99946902,CCCCCCc1ccc(O)cc1O
BRD-K72723676,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
BRD-K43860855,NC(=N)NCc1cccc(I)c1
BRD-K09416995,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
BRD-K04568635,CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(cc2)=NCCCCCCCC)cc1
BRD-A16700644,CC(COc1ccccc1)NC(C)[C@H](O)c1ccc(O)cc1
BRD-K82181219,Cc1ncc(CSSCc2cnc(C)c(O)c2CO)c(CO)c1O
BRD-K40787673,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
BRD-K47635719,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O
BRD-K56851771,CNC(=O)c1ccc(cc1F)N1C(=S)N(C(=O)C1(C)C)c1ccc(C#N)c(c1)C(F)(F)F
BRD-A92439610,CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
BRD-K38197229,CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O
BRD-K45033733,CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O
BRD-K62310379,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF
BRD-K27351809,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O
BRD-U25960968,C=O.C1CO1.CC(C)(C)CC(C)(C)c1ccc(O)cc1
BRD-K87774949,CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O
BRD-A58564983,CO[C@H]1CC(O[C@H]2[C@@H](C)\C=C\C=C3/CO[C@@H]4C(=N/O)\C(C)=C[C@@H](C(=O)O[C@H]5C[C@@H](C\C=C2/C)O[C@@]2(CC[C@H](C)[C@H](O2)C2CCCCC2)C5)[C@]34O)O[C@@H](C)C1O
BRD-K60237333,OC(=O)c1cccnc1
BRD-K56343971,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(cc23)-c2ccc(Cl)cc2)c1F
BRD-K60160658,Cc1ccsc1C(=CCCN1CCC[C@H](C1)C(O)=O)c1sccc1C
BRD-K60866521,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
BRD-K96159438,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C
BRD-K71075609,CCN[C@@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
BRD-K59197931,COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O
BRD-K83257731,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
BRD-A55962179,COc1ccc2nc([nH]c2c1)S(=O)Cc1ncc(C)c(OC)c1C
BRD-K60585088,C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1C[C@@H](O)C[C@H](O)C1
BRD-K71822263,N[C@H](CO)C(O)=O
BRD-K79254416,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
BRD-K41141507,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
BRD-K92428153,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(=O)OCCN1CCOCC1
BRD-K64381438,CN(C)c1ccc(cc1)[C@H]1C[C@@]2(C)[C@@H](CC[C@]2(OC(C)=O)C(C)=O)[C@@H]2CCC3=CC(=O)CCC3=C12
BRD-K75466013,CCOC(=O)c1ccc(N)cc1
BRD-A93236127,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4CC[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
BRD-A09722536,ClCCN(CCCl)P1(=O)NCCCO1
BRD-A55424491,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCC(O)=O)C(O)=O
BRD-K96424892,CCCCCCCCCCCCCCCC(=O)OC[C@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O
BRD-K51199656,C[N+](C)(CF)CCO
BRD-A53151380,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=C[C@]4(C)C3[C@@H](O)C[C@]12C
BRD-A54275602,Clc1ccccc1C1CS\C(S1)=C(\C#N)n1ccnc1
BRD-A11815689,C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4CCC3=C2)c2ccc(=O)oc2)C(O)C(O)[C@H]1O
BRD-K75037734,C[N+](C)(C)CCOC(N)=O
BRD-K08619574,CN(C)S(=O)(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(C)CC3)c2c1
BRD-K33425534,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
BRD-K93568044,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
BRD-K63750851,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(O)=O
BRD-A68304895,CC(C)CC(N)C1(CCC1)c1ccc(Cl)cc1
BRD-A67862938,CCN(CC)CCOC(=O)C(CC1CCCO1)Cc1cccc2ccccc12
BRD-K75958547,O[C@H](C[C@H](O)\C=C\c1c(nc2ccccc2c1-c1ccc(F)cc1)C1CC1)CC(O)=O
BRD-K50590187,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O
BRD-K49840922,Cn1c2ncn(CCOC(=O)C(C)(C)Oc3ccc(Cl)cc3)c2c(=O)n(C)c1=O
BRD-A64743628,CNC(C)CCC=C(C)C
BRD-A41304429,CC(C)NCC(O)COc1ccc(NC(C)=O)cc1
BRD-K17294426,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1
BRD-K38003476,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C
BRD-K04548931,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
BRD-K63828191,Oc1ccc(cc1)-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1
BRD-K54262262,Oc1ccc(OCc2ccccc2)cc1
BRD-K77987382,COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c1ccccc1
BRD-K35520305,CN(C)\N=N\c1[nH]cnc1C(N)=O
BRD-A31521121,COc1ccccc1OCC(O)COC(N)=O
BRD-A38350138,CC(=O)N1CCN(CC1)c1ccc(OCC2CO[C@@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1
BRD-K93034159,Nc1nc(Cl)nc2n(cnc12)[C@H]1C[C@H](O)[C@@H](CO)O1
BRD-A06627858,CC[C@]1(CC[C@@H](O1)[C@]1(C)CC[C@]2(C[C@H](O)[C@@H](C)[C@H](O2)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O1)C1O[C@H](C[C@@H]1C)C1O[C@@](O)(CO)[C@H](C)C[C@@H]1C
BRD-K70505054,CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O
BRD-A39390670,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C
BRD-K68693535,CNC(=N)NC(=O)Nc1c(C)cccc1C
BRD-K92073408,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
BRD-K70358946,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
BRD-K59574735,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(O)=O
BRD-K35189033,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
BRD-K62810658,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
BRD-K58122457,CCS(=O)(=O)Nc1ccc2NC(=O)\C(c2c1)=C(/Nc1ccc(CN2CCCCC2)cc1)c1ccccc1
BRD-A14344385,CC1Nc2ccc(Cl)cc2S(=O)(=O)N1
BRD-K68633617,CN(C)c1nc(N)c(nc1Cl)C(=O)Nc1cccnc1
BRD-K13571841,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC(C)C)C(C)C)C(C)C)[C@@H](O)CC(O)=O
BRD-K98157055,Cc1ccc(O)c(N=Nc2ccccc2)n1
BRD-A34751532,CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O
BRD-K37720887,Cc1cccc(n1)-c1[nH]c(nc1-c1ccc2nccnc2c1)C(C)(C)C
BRD-K86727142,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O
BRD-A72703248,COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
BRD-K33277808,C[C@@H]1O[C@@H](O[C@@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
BRD-K51474575,NCCS(O)(=O)=O
BRD-K52172416,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N
BRD-A24587114,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
BRD-K58049875,CC[C@H](C)[C@@H]1N[C@@H]2C=Cc3c(cc(nc3[C@H]2O)C(=O)O[C@H](C)[C@@H]2NC(=O)c3csc(n3)[C@@H](NC(=O)[C@H]3CSC(=N3)\C(NC(=O)[C@@H](NC(=O)c3csc(n3)[C@]3(CCC(=N[C@@H]3c3csc2n3)c2nc(cs2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC1=O)[C@@H](C)O)=C\C)[C@](C)(O)[C@@H](C)O)[C@H](C)O
BRD-K37590257,COc1cccc(Nc2c(cnc3c(C)cc(cc23)S(=O)(=O)c2cccc(c2)C(=O)N(C)C)C(N)=O)c1
BRD-K84683831,CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(c(F)c1)-c1ccc(CNCc2cnn[nH]2)cc1
BRD-K49555808,Cn1c(nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O)N1CCCCS1(=O)=O
BRD-K13390322,Clc1cccc(Cl)c1C(=O)Nc1c[nH]nc1C(=O)NC1CCNCC1
BRD-K24576554,O=C(NC1CC1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1
BRD-K52233191,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(CC2)S(C)(=O)=O)nc1N
BRD-K52313696,CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
BRD-K85406984,CC(C)c1cc(Cc2c(C)cc(OCC(O)=O)cc2C)ccc1O
BRD-K81458380,OC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc21
BRD-K63504947,Cc1cc(C)c(\C=C2/C(=O)Nc3ccccc23)[nH]1
BRD-K62196610,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1
BRD-K19412355,COc1nccc(n1)-c1c(ncn1C1CCNCC1)-c1ccc(F)cc1
BRD-K09602097,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
